iter	Passed	Remaining
575	58917	63827
576	59041	63748
577	59175	63680
578	59283	63584
579	59386	63481
580	59483	63373
581	59596	63283
582	59731	63214
583	59833	63111
584	59925	62998
585	60027	62895
586	60130	62793
587	60229	62687
588	60363	62618
589	60464	62514
590	60561	62405
591	60666	62305
592	60869	62306
593	60983	62215
594	61086	62113
595	61200	62021
596	61315	61931
597	61445	61856
598	61560	61765
599	61667	61667
600	61765	61559
601	61899	61488
602	62023	61406
603	62122	61300
604	62212	61184
605	62327	61093
606	62450	61010
607	62564	60918
608	62676	60824
609	62789	60730
610	62894	60629
611	63010	60539
612	63150	60471
613	63249	60364
614	63368	60276
615	63483	60185
616	63664	60156
617	63791	60075
618	63938	60012
619	64064	59931
620	64180	59839
621	64299	59750
622	64399	59644
623	64653	59679
624	64809	59624
625	64979	59581
626	65113	59505
627	65237	59420
628	65397	59367
629	65517	59277
630	65649	59198
631	65782	59120
632	65909	59037
633	66031	58949
634	66145	58853
635	66267	58765
636	66383	58671
637	66548	58621
638	66683	58543
639	66816	58464
640	66922	58361
641	67067	58292
642	67209	58220
643	67315	58117
644	67414	58007
645	67517	57902
646	67630	57805
647	67797	57753
648	67914	57659
649	68039	57571
650	68172	57491
651	68282	57390
652	68407	57302
653	68561	57239
654	68703	57165
655	68852	57097
656	69127	57132
657	69257	57047
658	69367	56946
659	69473	56841
660	69582	56739
661	69672	56622
662	69780	56518
663	69867	56399
664	69959	56283
665	70076	56187
666	70180	56080
667	70277	55969
668	70401	55879
669	70515	55780
670	70614	55670
671	70708	55556
672	70803	55443
673	70922	55348
674	71056	55266
675	71155	55156
676	71266	55055
677	71362	54942
678	71479	54846
679	71598	54751
680	71849	54757
681	71969	54663
682	72132	54600
683	72292	54536
684	72463	54479
685	72781	54533
686	72970	54489
687	73146	54434
688	73307	54368
689	73418	54266
690	73564	54188
691	73679	54088
692	73817	54004
693	73967	53930
694	74091	53836
695	74211	53739
696	74334	53644
697	74457	53550
698	74626	53487
699	74740	53386
700	74852	53282
701	74977	53189
702	75087	53084
703	75318	53065
704	75455	52979
705	75589	52891
706	75716	52797
707	75889	52736
708	76077	52685
709	76217	52600
710	76361	52518
711	76512	52441
712	76641	52348
713	76760	52248
714	76898	52162
715	77014	52059
716	77158	51977
717	77280	51879
718	77424	51795
719	77526	51684
720	77630	51574
721	77726	51458
722	77828	51347
723	77945	51245
724	78118	51181
725	78280	51108
726	78422	51022
727	78547	50926
728	78694	50844
729	78796	50731
730	78938	50645
731	79050	50540
732	79227	50476
733	79350	50377
734	79473	50279
735	79615	50192
736	79750	50100
737	79893	50014
738	80018	49917
739	80118	49803
740	80230	49697
741	80373	49610
742	80497	49511
743	80592	49395
744	80700	49286
745	80833	49193
746	80969	49101
747	81102	49008
748	81228	48910
749	81333	48800
750	81479	48713
751	81615	48622
752	81736	48520
753	81841	48410
754	81946	48299
755	82041	48183
756	82149	48074
757	82297	47988
758	82406	47880
759	82512	47770
760	82654	47680
761	82754	47567
762	82853	47453
763	82972	47350
764	83091	47248
765	83217	47149
766	83403	47084
767	83538	46990
768	83669	46894
769	83868	46835
770	83994	46736
771	84110	46630
772	84233	46529
773	84373	46438
774	84534	46357
775	84683	46270
776	84880	46209
777	85025	46119
778	85189	46039
779	85310	45936
780	85449	45843
781	85566	45737
782	85669	45624
783	85784	45518
784	85928	45427
785	86088	45344
786	86215	45244
787	86337	45141
788	86439	45027
789	86556	44921
790	86680	44819
791	86786	44708
792	86929	44615
793	87043	44508
794	87169	44407
795	87276	44296
796	87374	44180
797	87491	44074
798	87595	43962
799	87726	43863
800	87840	43755
801	88012	43677
802	88112	43562
803	88228	43455
804	88363	43358
805	88500	43261
806	88658	43175
807	88816	43089
808	88928	42980
809	89079	42890
810	89305	42836
811	89500	42766
812	89598	42650
813	89714	42542
814	89822	42431
815	89934	42322
816	90065	42221
817	90168	42108
818	90288	42002
819	90398	41892
820	90509	41781
821	90611	41668
822	90724	41559
823	90838	41450
824	90937	41335
825	91124	41259
826	91220	41142
827	91334	41034
828	91437	40920
829	91536	40805
830	91633	40689
831	91836	40619
832	92005	40535
833	92133	40432
834	92290	40342
835	92437	40247
836	92530	40129
837	92630	40014
838	92742	39904
839	92834	39786
840	92955	39680
841	93067	39570
842	93172	39457
843	93279	39345
844	93408	39242
845	93520	39132
846	93629	39021
847	93729	38906
848	93821	38788
849	93950	38685
850	94100	38591
851	94238	38491
852	94427	38413
853	94542	38304
854	94676	38202
855	94776	38087
856	94876	37972
857	94966	37853
858	95072	37741
859	95170	37625
860	95296	37520
861	95406	37410
862	95526	37302
863	95643	37194
864	95762	37087
865	95871	36975
866	95965	36858
867	96066	36744
868	96167	36629
869	96257	36511
870	96367	36400
871	96509	36301
872	96649	36202
873	96747	36086
874	96848	35972
875	96947	35857
876	97036	35738
877	97136	35624
878	97232	35507
879	97327	35391
880	97431	35278
881	97559	35174
882	97662	35061
883	97769	34949
884	97871	34835
885	97975	34722
886	98092	34614
887	98215	34508
888	98314	34393
889	98414	34279
890	98511	34163
891	98655	34065
892	98791	33963
893	98934	33863
894	99030	33747
895	99144	33638
896	99242	33523
897	99338	33407
898	99498	33313
899	99601	33200
900	99699	33085
901	99857	32990
902	99977	32882
903	100129	32785
904	100249	32677
905	100389	32576
906	100512	32469
907	100654	32369
908	100831	32279
909	100995	32185
910	101120	32078
911	101239	31970
912	101331	31853
913	101436	31740
914	101528	31623
915	101621	31507
916	101722	31393
917	101816	31276
918	101915	31162
919	102011	31046
920	102126	30937
921	102275	30837
922	102401	30731
923	102498	30616
924	102599	30502
925	102703	30389
926	102835	30285
927	102980	30183
928	103100	30075
929	103202	29961
930	103313	29850
931	103472	29753
932	103583	29642
933	103692	29531
934	103806	29421
935	103910	29308
936	104030	29199
937	104137	29087
938	104244	28975
939	104349	28862
